product_name,size,cup,lid,napkin,straw,sleeve,bag,other
Iced Coffee,24oz,1,1,1,1,0,0,
Iced Cappuccino,16oz,1,1,1,1,0,0,
Iced Cappuccino,20oz,1,1,1,1,0,0,
Iced Cappuccino,24oz,1,1,1,1,0,0,
Iced Americano,16oz,1,1,1,1,0,0,
Iced Americano,20oz,1,1,1,1,0,0,
Iced Americano,24oz,1,1,1,1,0,0,
Iced Mocha,16oz,1,1,1,1,0,0,
Iced Mocha,20oz,1,1,1,1,0,0,
Iced Mocha,24oz,1,1,1,1,0,0,
Iced White Mocha,16oz,1,1,1,1,0,0,
Iced White Mocha,20oz,1,1,1,1,0,0,
Iced White Mocha,24oz,1,1,1,1,0,0,
Iced Latte Macchiato,16oz,1,1,1,1,0,0,
Iced Latte Macchiato,20oz,1,1,1,1,0,0,
Iced Latte Macchiato,24oz,1,1,1,1,0,0,
Iced Chai Latte,16oz,1,1,1,1,0,0,
Iced Chai Latte,20oz,1,1,1,1,0,0,
Iced Chai Latte,24oz,1,1,1,1,0,0,
Iced Matcha Latte,16oz,1,1,1,1,0,0,
Iced Matcha Latte,20oz,1,1,1,1,0,0,
Iced Matcha Latte,24oz,1,1,1,1,0,0,
Iced Coconut Latte,16oz,1,1,1,1,0,0,
Iced Coconut Latte,20oz,1,1,1,1,0,0,
Iced Coconut Latte,24oz,1,1,1,1,0,0,
Iced Coconut Matcha,16oz,1,1,1,1,0,0,
Iced Coconut Matcha,20oz,1,1,1,1,0,0,
Iced Coconut Matcha,24oz,1,1,1,1,0,0,
Italian Coffee Frappe,16oz,1,1,1,1,0,0,
Italian Coffee Frappe,20oz,1,1,1,1,0,0,
Italian Coffee Frappe,24oz,1,1,1,1,0,0,
Italian Mocha Frappe,16oz,1,1,1,1,0,0,
Italian Mocha Frappe,20oz,1,1,1,1,0,0,
Italian Mocha Frappe,24oz,1,1,1,1,0,0,
Italian Chocolate Frappe,16oz,1,1,1,1,0,0,
Italian Chocolate Frappe,20oz,1,1,1,1,0,0,
Italian Chocolate Frappe,24oz,1,1,1,1,0,0,
Italian Strawberry Frappe,16oz,1,1,1,1,0,0,
Italian Strawberry Frappe,20oz,1,1,1,1,0,0,
Italian Strawberry Frappe,24oz,1,1,1,1,0,0,
Cold Brew,16oz,1,1,1,1,0,0,
Cold Brew,20oz,1,1,1,1,0,0,
Cold Brew,24oz,1,1,1,1,0,0,
Nitro Cold Brew,16oz,1,1,1,1,0,0,
Nitro Cold Brew,20oz,1,1,1,1,0,0,
Nitro Cold Brew,24oz,1,1,1,1,0,0,
Nutty Nitro Cold Brew,16oz,1,1,1,1,0,0,
Nutty Nitro Cold Brew,20oz,1,1,1,1,0,0,
Nutty Nitro Cold Brew,24oz,1,1,1,1,0,0,
Coco Choc Nitro Cold Brew,16oz,1,1,1,1,0,0,
Coco Choc Nitro Cold Brew,20oz,1,1,1,1,0,0,
Coco Choc Nitro Cold Brew,24oz,1,1,1,1,0,0,
Mango Colada,16oz,1,1,1,1,0,0,
Mango Colada,20oz,1,1,1,1,0,0,
Mango Colada,24oz,1,1,1,1,0,0,
Watermelon Cooler,16oz,1,1,1,1,0,0,
Watermelon Cooler,20oz,1,1,1,1,0,0,
Watermelon Cooler,24oz,1,1,1,1,0,0,
Mango Dreamsicle,16oz,1,1,1,1,0,0,
Mango Dreamsicle,20oz,1,1,1,1,0,0,
Mango Dreamsicle,24oz,1,1,1,1,0,0,
Berry Burst Fusion,16oz,1,1,1,1,0,0,
Berry Burst Fusion,20oz,1,1,1,1,0,0,
Berry Burst Fusion,24oz,1,1,1,1,0,0,
Tapioca Pearls,16oz,1,1,1,1,0,0,
Tapioca Pearls,20oz,1,1,1,1,0,0,
Tapioca Pearls,24oz,1,1,1,1,0,0,
CocoNutty,16oz,1,1,1,1,0,0,
CocoNutty,20oz,1,1,1,1,0,0,
CocoNutty,24oz,1,1,1,1,0,0,
Spicy Chai,16oz,1,1,1,0,1,0,
Spicy Chai,20oz,1,1,1,0,1,0,
Spicy Chai,24oz,1,1,1,0,1,0,
Mangoberry,16oz,1,1,1,1,0,0,
Mangoberry,20oz,1,1,1,1,0,0,
Mangoberry,24oz,1,1,1,1,0,0,
Iced Tea,16oz,1,1,1,1,0,0,
Iced Tea,20oz,1,1,1,1,0,0,
Iced Tea,24oz,1,1,1,1,0,0,
Brewed Cold Tea (Brewing Machine),16oz,1,1,1,1,0,0,
Brewed Cold Tea (Brewing Machine),20oz,1,1,1,1,0,0,
Brewed Cold Tea (Brewing Machine),24oz,1,1,1,1,0,0,
Unsweetened Fresh Brew Tea Bag,16oz,1,1,1,1,0,0,
Unsweetened Fresh Brew Tea Bag,20oz,1,1,1,1,0,0,
Unsweetened Fresh Brew Tea Bag,24oz,1,1,1,1,0,0,
Brewed Cold Tea (Manual Brewing),16oz,1,1,1,1,0,0,
Brewed Cold Tea (Manual Brewing),20oz,1,1,1,1,0,0,
Brewed Cold Tea (Manual Brewing),24oz,1,1,1,1,0,0,
BAGELS,-,0,0,2,0,0,0,Plate + Fork
TEA BREADS,16oz,1,1,1,1,0,0,
TEA BREADS,20oz,1,1,1,1,0,0,
TEA BREADS,24oz,1,1,1,1,0,0,
Italian Rustic Sandwich,-,0,0,2,0,0,0,Plate + Fork
Veggie Caprese Sandwich,-,0,0,2,0,0,0,Plate + Fork
Caprese al Croissant,-,0,0,2,0,0,0,Plate + Fork
Pesto Pomodoro Sandwich,-,0,0,2,0,0,0,Plate + Fork
Turkey Bacon Classico Sandwich,-,0,0,2,0,0,0,Plate + Fork
Turkey Bacon Al Fresco Sandwich,-,0,0,2,0,0,0,Plate + Fork
Pinsa di Pollo,-,0,0,2,0,0,0,Plate + Fork
Pinsa Perfetta,-,0,0,2,0,0,0,Plate + Fork
Gelato Base,-,0,0,2,0,0,0,Plate + Fork
Gelato Machine Operation,-,0,0,2,0,0,0,Plate + Fork
Affogato,-,0,0,2,0,0,0,Plate + Fork
Gelato,-,0,0,2,0,0,0,Plate + Fork
Cremato Cookies & Cream,-,0,0,2,0,0,0,Plate + Fork
Cremato di Matcha,-,0,0,2,0,0,0,Plate + Fork
Cremato di Mocha,16oz,1,1,1,0,1,0,
Cremato di Mocha,20oz,1,1,1,0,1,0,
Cremato di Mocha,24oz,1,1,1,0,1,0,
Strawberry-Chia Parfait,-,0,0,2,0,0,0,Plate + Fork
Croissant al Gelato,-,0,0,2,0,0,0,Plate + Fork
Belgian Waffles,-,0,0,2,0,0,0,Plate + Fork
Mini Dutch Pancakes,-,0,0,2,0,0,0,Plate + Fork
"Fluffy, golden-brown mini pancakes with a soft center and a hint of sweetness",-,0,0,2,0,0,0,Plate + Fork
Cappuccino Cold Foam,16oz,1,1,1,0,1,0,
Cappuccino Cold Foam,20oz,1,1,1,0,1,0,
Cappuccino Cold Foam,24oz,1,1,1,0,1,0,
